Machine won't start,Multiple faults had to be cleared before being able to start,machine,will_not_start/ fault,reset/ reconfigure,machine,,I3,Y,3/31/15,,3/31/15,,J Con,SA,Steve Andreozzi,,machine,,fault,clear,start/ won,multiple
Hydraulic Main Fault -will not build pressure,Bad output module -Broken off rack in electrical cabinet and caused loose connection to hydraulic motor,hydraulic/ pressure/ electrical_cabinet/ output_module/ rack/ connection/ hydraulic_motor/ motor,fault/ main_fault/ will_not_build/ loose/ broken,no_action_taken,output_module,,SC11,Y,3/31/15,,3/31/15,,Steve S,DK,Denis Kusiak,,motor/ hydraulic/ pressure/ connector/ module/ electrical/ cabinet/ rack,,broken/ fault/ loose,,main,
Offload conveyor INOP,Replaced worn key in conveyor motor drive shaft -Parts list DK,offload_conveyor/ conveyor/ offload/ key,inoperable/ worn,replace,key,,Sinico,Y,3/31/15,,3/31/15,,Steve C,DK,Denis Kusiak,,motor/ conveyor/ part/ shaft/ offload/ key,,inoperable/ worn,replace,drive,
Rear collector broken,Tube welded to repair crack and re inserted,rear/ collector,broken,weld/ repair/ rebuild,tube/ crack,,Sinico,Y,3/31/15,,3/31/15,,Steve C,DK,Denis Kusiak,,rear/ tube/ collector,,broken,repair/ weld,,
Bottom Left XD failure,Unit rebuilt by Roland and installed / Spare parts ordered to replace inventory,xd,fault,rebuild/ install/ need_guy,xd,,H27,Y,3/31/15,,4/1/15,,Bruce,RF,Roland Fontaine,,unit/ part/ cross_drill/ inventory,,failure,replace/ install/ rebuild/ order,spare/ left,
St#6 milling head shaft wear,Swapped head with unit in queue for H15 CS1001 -Unit removed has been serviced,st_6/ mill/ mill_head/ shaft,worn,replace/ remove/ repair,mill_head/ h_15/ cs_1001,,H8,N,3/31/15,,4/1/15,,J Con,JPM / ML,John Murray/ Marcel Lefebvre,,station/ unit/ head/ shaft/ mill,,,remove/ swap,,
Rear door hinge loose,Repaired,rear/ door/ door_hinge,loose,repair,door_hinge,,I17,N,3/31/15,,4/1/15,,Norm,DK,Denis Kusiak,,door/ rear,,loose,repair,,
Pendant rotaion lock pin broken,Pin was good / swivel tensioned,pendant/ rotation_lock_pin,broken,adjust/ tension,rotation_lock_pin/ swivel,,H33,N,3/31/15,,,,Bruce,JC / GD,Jon Cousineau/ Gerry Desmarais,,pin/ pendant,tension,broken,tension,lock,
Threading unit control box loose,Repaired,threading_unit/ control_box,loose,repair,threading_unit,,H33,N,3/31/15,,,,Bruce,JC / GD,Jon Cousineau/ Gerry Desmarais,,unit/ thread/ box,,loose,repair,control,
Power pack not at 60bar,Drained powerpack and confirmed no hose leak / replaced filter and filled with new ISO 46 hyd oil,power_pack/ pressure,low,drain/ replace/ fill,power_pack/ filter/ oil,,H1,Y,4/1/15,,4/1/15,,Bruce,JC,Jon Cousineau,,hydraulic/ oil/ hose/ filter,drain,leak,replace,new/ power/ pack/ drain,
Indexers #11 and #12 out of position and will not reset,Reset - ML reporting 1st shift oper knows how to do this!,indexer_11/ indexer_12/ indexer,out_of_adjustment/ location/ will_not_start,reset/ need_guy,,,H17,Y,4/1/15,,4/1/15,,Norm,ML,Marcel Lefebvre,,operator/ index/ position,,,reset,11/ 12/ shift,
Hydraulic valve stack has loud vibration,Hydraulic tank empty! / Filled tank with 35 gallons but finding it having lost 25 gallons in 24 hours on 4/2 -searching for Hyd leak,hydraulic/ valve/ valve_stack/ hydraulic_valve_stack/ tank/ hydraulic_tank,vibrate/ empty/ leak,fill,tank,,I18,N,4/1/15,,4/1/15,,Norm,DK,Denis Kusiak,,valve/ hydraulic/ tank,,leak,,35,hours
Drain and clean tank -Do not refill,Drained and cleaned,tank,dirty,drain/ replace/ will_not_fill,tank,,Super Tec,N,4/1/15,,4/25/15,,ER,Lyle,Lyle Cookson,,tank,drain,,clean,drain,
Power pack not building pressure. Stuck at 30 bar,Accumulator checked OK at 30bar / replaced filters /pressure stable at 60bar -dropping to 50bar when indexing,power_pack/ pressure/ accumulator,low,replace,filter,,H3,Y,4/2/15,,4/2/15,,Steve C,JC,Jon Cousineau,,accumulator/ pressure/ filter/ index,30bar,stuck/ drop,replace/ check/ ok,bar/ power/ 50bar/ pack/ 30,
Table not indexing,Reset all three table indexing proximity switches -Loose. Also adjusted table indexing speed-Was too fast,table/ proximity_switch/ switch/ table_index_speed,will_not_index,adjust/ reset,proximity_switch/ table_index_speed,,H10,Y,4/2/15,,4/3/15,,Bruce,JPM,John Murray,,table/ prox/ index/ speed,,loose,adjust/ reset,,
HS4 disabled -will not rotate,Actuator replaced,hs4,broken/ will_not_move,replace,actuator,,I17,N,4/2/15,,4/7/15,,Norm,JC,Jon Cousineau,,actuator,,,replace,,
Rear door lock alarm faults during run cycle,Installed new interlock after receiving taps for elect connect,rear_door,lock_alarm/ fault,install,interlock,,SC5,N,4/2/15,,4/23/15,,Steve S,SA,Steve Andreozzi,,door/ rear/ interlock,,fault/ alarm,install,new/ running/ cycle/ lock,
St#7 will not complete cycle,Replaced bleeder valve,st_7,will_not_cycle,replace,bleeder_valve,,H19,Y,4/3/15,,4/3/15,,Norm,Gerry,Gerry Desmarais,,station/ valve,,,replace/ complete,cycle,
Overload contactor at threading unit,Greased lead screw,contractor/ threading_unit,overload,grease,lead_screw,,H33,Y,4/3/15,,4/3/15,,J Con,JPM,John Murray,,unit/ screw/ contactor/ thread/ lead,,overload,,,
Service filtermist,Filters replaced,filtermist,service ,replace,filter,,TR#2,N,4/3/15,,4/3/15,,ER,CD,Colin Doherty,,filter,,,replace,,
Chevalier grinder in Oper grind room not level,Leveled grinder base,chevalier_grinder/ grinder,out_of_adjustment/ location/ level,level,grinder_base,,Grinder,N,4/6/15,,4/6/15,,JPG,CD,Colin Doherty,,base/ operator,,,,level/ grind,
Units will not fire,Replaced contactor K313 and auxiliary contactor block,unit,will_not_fire,replace,contactor/ k313/ auxilary_contactor_block,,H10,Y,4/6/15,,4/6/15,,J Con,SA,Steve Andreozzi,,unit/ contactor,,,replace,block,
Chip conveyor jammed,Hand cranked to free minor jam and replaced clutch plates,chip_conveyor/ conveyor,jam,hand_crank/ crank/ replace,clutch_plate/ clutch,,I2,N,4/6/15,,4/6/15,,JPG,CD,Colin Doherty,,conveyor/ chip/ clutch/ plate,,jam,replace,,
Base has hydraulic fluid -Drain/Clean,Drained/ Cleaned/ 50 Micron bag filter replaced,hydraulic/ base/ bag_filter/ filter,drain/ clean,drain/ clean/ replace,base/ bag_filter/ filter,,I6,Y,4/6/15,,4/6/15,,Steve C,Lyle,Lyle Cookson,,hydraulic/ base/ filter,drain,,replace/ clean,drain,
Diaphram pump #1 INOP,Replaced pump,diaphram_pump_1,inoperable,replace,pump,,Mayfran,N,4/6/15,,4/6/15,,J Con,SA,Steve Andreozzi,,pump,,inoperable,replace,,
Machine will not engage,Solonoid OK -Clutch adjusted and online,machine,will_not_engage,adjust,clutch,,T103,Y,4/6/15,,4/7/15,,Joe,SA / DK,Steve Andreozzi/ Denis Kusiak,,machine/ clutch/ solenoid,,,adjust/ ok,online,
Major Hyd leak from ST#8 valve -Chip breaker valve,Replaced chip breaker valve with rebuilt unit on shelf,hydraulic/ st_8/ chip_breaker_valve/ valve,leak,replace,chip_breaker_valve,,H23,N,4/6/15,,4/8/15,,JPG,Gerry,Gerry Desmarais,,station/ unit/ valve/ hydraulic/ chip/ breaker/ shelf,,leak,replace/ rebuild,major,
Rot cam switch faults -became Monitor spindle drive fault,LT module replaced but issue remained -Feed motor was seized. Replaced with motor from SC4. Bad motor shipped to Electric Enterprise for repair.,rot_cam_switch/ monitor_spindle_drive/ motor,fault/ broken,need_guy/ replace/ repair,lt_module/ feed_motor,,SC3,Y,4/6/15,,4/9/15,,Steve S,JC / DK,Jon Cousineau/ Denis Kusiak,,motor/ spindle/ module,,broken/ fault/ issue/ seize,replace/ repair,switch/ drive/ feed,
Clutch will not disengage,Rebuild cluch,clutch,will_not_disengage,rebuild,clutch,,T102,N,4/6/15,,4/10/15,,JPG,DK,Denis Kusiak,,clutch,,,rebuild,,
St#11 bleeder valve NOK,O-Ring on bleeder replaced. Valve settings on #11 and #12 reset,st_11/ bleeder_valve,inoperable,replace reset,o_ring/ valve/ st_11/ st_12,,H20,Y,4/7/15,,4/7/15,,Bruce,Gerry,Gerry Desmarais,,station/ valve/ ring,,broken,replace/ reset,12-Nov,
Monitoring Spindle Drive alarm won’t clear,Replaced performance module,spindle_drive,alarm,replace,performance_module,,SC11,Y,4/7/15,,4/7/15,,Bruce,DK,Denis Kusiak,,spindle/ module,,alarm,replace/ clear,drive/ won/ performance,
Brushing requires LH rotation,Replaced brushing unit and lead screw for LH rotation,brush_unit,need_rotation,replace,brush_unit/ lead_screw,,H14,N,4/7/15,,4/13/15,,Russ,GD / JPG,Gerry Desmarais/ Jerry,,unit/ screw/ brush/ lead,,,replace/ require,,
Loose wire in pendant -shutting down machine,Repaired 2 broken wires,wire/ pendant,loose,repair,wire,,H21,N,4/7/15,,4/17/15,,Steve C,SA,Steve Andreozzi,,machine/ wire/ pendant,,broken/ loose,repair,,
Loose fitting on inverter -operator afraid to tighten??,Tensioned fitting,fitting/ inverter/ operator,loose/ error,tension/ train,fitting/ operator,,H14,Y,4/8/15,,4/8/15,,J Con,CD,Colin Doherty,,operator/ inverter/ fitting,tension,loose,tighten/ tension,,
St# 11 spindle bearings bad,Replaced bearings and returned spindle to H19 -Gio,st_11/ spindle/ bearing,broken,replace,bearing,,H19,Y,4/8/15,,4/8/15,,JC,JPM,John Murray,,station/ spindle/ bearing,,broken,replace/ return,11,
Chip Stripper jammed against conveyor outlet,Adjusted chip stripper location -operational,chip_stripper/ conveyor,jam,adjust,chip_stripper,,I1,N,4/8/15,,4/8/15,,JPG,CD,Colin Doherty,,conveyor/ chip,,jam,adjust,,
Inverter push rod will not retract,Pulled Invert valve from H11 (under setup) valve rebuilt,inverter/ push_rod,will_not_return,swap,inverter_valve,,H14,Y,4/8/15,,4/9/15,,Bruce,JPM,John Murray,,valve/ inverter/ rod,,,rebuild/ setup,push,
Main slide rolls loose / One spindle with R/O,MTS rolls ok / Collet closing roll replaced with AS14 roll but too small,main_slide_roll/ spindle,loose,no_problem_detected/ replace,collet_closing_roll,,T104,Y,4/8/15,,,,Mike L,JC / DK,Jon Cousineau/ Denis Kusiak,,spindle/ collet/ slide,,loose,replace/ ok,main/ closing/ roll,
Broken Dreher clamp,Repaired clamp,dreher_clamp/ clamp,broken,repair,clamp,,Dreher,N,4/9/15,,4/9/15,,J Con,CD,Colin Doherty,,clamp,,broken,repair,,
Pendant clamp broken,Clamp repaired,pendant_clamp/ clamp,broken,repair,clamp,,H1,N,4/9/15,,4/9/15,,Gio,SA,Steve Andreozzi,,clamp/ pendant,,broken,repair,,
Inverter faulting ST2 fault,Swapped inverter valve with H11,inverter/ st_2,fault,swap,inverter_valve,,H14,Y,4/9/15,,4/9/15,,Bruce,JPM,John Murray,,valve/ inverter/ st_2,,fault,swap,,
Bar loader chain broken,Repaired,bar_loader/ chain/ bar,broken,repair,bar_loader/ chain/ bar,,H32,Y,4/9/15,,4/9/15,,J Con,CD,Colin Doherty,,loader/ chain,,broken,repair,bar,
Robot arm out of sequence -dropping parts,Slowed rotator,robot_arm,drop_part,adjust,rotator/ speed,,I2,Y,4/9/15,,4/9/15,,J Con,SA,Steve Andreozzi,,part/ rotator,,drop/ slow,,,
Alarm 1681 servo enable traversing,Encoder coupling replaced,servo,alarm_1681,replace,encoder_coupling,,I6,Y,4/9/15,,4/9/15,,Pete C,DK,Denis Kusiak,,encoder/ servo,,alarm,replace,,
Broken wire on AIM,Soldered wire -Eng required to reboot AIM.,aim_wire/ wire/ aim,broken,solder,wire,,I6,Y,4/9/15,,4/9/15,,Bruce,JC,Jon Cousineau,,wire,,broken,require,,
Loader will not insert part into collet,Replaced PLC,loader,will_not_part,replace,plc,,H20,Y,4/9/15,,4/10/15,,Norm,Tony,Tony Lobo,,loader/ collet/ plc,,,replace,,
Track #2 binding -Belt worn,Replaced belt and pulley,track_2/ belt,bind/ worn,replace,belt/ pulley,,I18,N,4/9/15,,4/13/15,,Norm,JC,Jon Cousineau,,belt/ pulley,,worn,replace,track,
Collet closing roll INOP -using AS14 roll,Replaced with Roll and lever from T105,collet_closing_roll,inoperable,swap,collet_closing_roll/ lever,,T104,Y,4/9/15,,4/15/15,,Mike L,JC,Jon Cousineau,,collet,,inoperable,replace,closing/ roll,
Work zone lingt INOP,Light removed (CD),work_zone/ light,inoperable,remove,light,,SC5,N,4/9/15,,,,Steve S,,,,light,,inoperable,remove,,
Vertical and brushing not in sequence,Replaced bad relay,vertical/ brushing/ relay,out_of_adjustment/ timing/ broken,replace,relay,,H10,Y,4/10/15,,4/10/15,,Steve C,JPM,John Murray,,brush/ relay/ vertical,,broken,replace,,
ST#12 threading unit setting will not allow spindles to start,Adjusted return prox,st_12/ threading_unit,will_not_move,adjust,return_proximity,,H33,Y,4/10/15,,4/10/15,,GD,JPM,John Murray,,station/ unit/ spindle/ prox/ thread,,,adjust,12/ returning/ start,
Coolant leak side A top of macjine,Loose fittings tightened,coolant/ side_a/ fitting,leak/ loose,tighten,fitting,,I2,Y,4/10/15,,4/10/15,,J Con,SA,Steve Andreozzi,,coolant/ fitting,,leak/ loose,tighten,,
Alarm 436 -C axis soft thermal,Rebuilt Regulating wheel support bearings,c_axis,alarm_436,rebuild,regulating_wheel/ support_bearing,,Tsch2,Y,4/10/15,,4/11/15,,J Con,DK,Denis Kusiak,,bearing/ axis/ wheel,,alarm,rebuild,regulating,
Major hydraulic leak at Sp#6 horseshoe,Replaced horseshoe seals,hydraulic/ spindle_6/ horseshoe/ seal,leak/ major,replace,horseshoe/ seal ,,I18,N,4/11/15,,4/13/15,,Norm,JC,Jon Cousineau,,spindle/ hydraulic,,leak,replace,seal/ major,
Contactor Overload M20 fault -,Reset contactor having found nothing wrong with it,contactor,fault/ overload_fault_m20,reset/ no_problem_detected,contactor,,H33,Y,4/13/15,,4/13/15,,J Con,SA,Steve Andreozzi,,contactor,,fault/ overload,reset,,
Brushing unit #12 not stopping when moving forward,Adjusted prox position,brush_unit/ brush_unit_12,will_not_move,adjust,proximity,,H33,Y,4/13/15,,4/13/15,,Steve C,JPM,John Murray,,unit/ prox/ brush/ position,,,adjust,12/ stop/ forward,
Side A door support stripped threading -interlock key moves,Threads OK -Loose key tightened. -Operator should have repaired this,side_a/ door_support/ operator,strip/ error,tighten/ train,key/ operator,,I3,N,4/13/15,,4/13/15,,Dave L,CD,Colin Doherty,,operator/ door/ interlock/ thread/ key,,loose/ strip,repair/ ok/ tighten,move,
No power at Prab,Replaced fuse FB 300,prab,no_power,replace,fuse/ fb_300,,Prab,Y,4/13/15,,4/13/15,,J Con,SA,Steve Andreozzi,,fuse,,,replace,power,
Stripped threading on loading robot dog,Threads OK -Replaced screws,thread/ loading_robot_dog,strip,replace,screw,,TK2,N,4/13/15,,4/13/15,,Pete C,CD,Colin Doherty,,screw/ thread/ dog,,strip,replace/ ok,load,
Iemca encoder INOP -opers loading manually,Encoder replaced,lemca/ encoder,inoperable,replace,encoder,,I20,N,4/13/15,,4/14/15,,Steve C,JC,Jon Cousineau,,iemca/ encoder,,inoperable,replace,load,
Iemca track #3 failing -Channel guides removed,#3 Track replaced NEW,lemca/ track_3,inoperable,replace,track_3,,I20,N,4/13/15,,4/14/15,,Norm,JC,Jon Cousineau,,iemca/ guide/ channel,,fail,replace/ remove,new/ track,
HP oil intake needs to be extended and fixed in place to prevent intake or air,Extended intake and fixed to prevent movement,high_pressure/ oil_intake,extend,extend,intake,,TK4,N,4/13/15,,4/17/15,,Pete C,DK,Denis Kusiak,,air/ oil/ intake,,,need,hp,
Gates and locking latches need repair,Latches ordered and replaced,gate/ locking_latch,repair,replace,latch,,FPI,N,4/13/15,,5/1/15,,Mike C,SA,Steve Andreozzi,,gate,,,replace/ repair/ need/ order,locking,
Clamping spool guard broken,Replaced -Operator could have done this!,clamp_spool_guard/ clamp/ operator,broken/ error,replace/ train,clamp_spool_guard/ clamp/ operator,,A76,Y,4/14/15,,4/14/15,,Bruce,Jose,Jose Hernandez,,operator/ clamp/ guard,,broken,replace,,
Exit chute broken,MFG two new exit chutes -one for Gio,exit_chute,broken,build,exit_chute,,H12,Y,4/14/15,,4/14/15,,Gio,JPG,Jerry,,chute,,broken,,new,
St#12 Motor overload fault,Replaced motor -Need new or rebuild,st_12/ motor,overload_fault/ fault,replace,motor,,H33,Y,4/14/15,,4/14/15,,J Con,SA,Steve Andreozzi,,station/ motor,,fault/ overload,replace/ rebuild/ need,new/ 12,
Transport gripper sensor INOP,Cable to gripper sensor replaced,transport_gripper/ sensor,inoperable,replace,transport_gripper/ sensor,,I3,Y,4/14/15,,4/14/15,,Bruce,DK,Denis Kusiak,,sensor/ cable/ gripper,,inoperable,replace,transport,
Machine shut down -Will not start,Replaced blown fuse in control panel,machine,will_not_start/ off,replace,fuse/ control_panel,,Prab,Y,4/14/15,,4/14/15,,J Con,SA / CD,Steve Andreozzi/ Colin Doherty,,machine/ fuse/ panel,,blown,replace,control/ shut/ start,
Broken chucking shoe,Replaced chucking shoe -Operator could have done this also!,chucking_shoe/ operator,broken/ error,replace/ train,chucking_shoe/ operator,,A78,Y,4/14/15,,4/15/15,,J Con,Jose,Jose Hernandez,,operator,,broken,replace,,
Alarm 300504 HS4 Encoder cable issue -Spindle OFF,Replaced encoder on SP #4,300504/ hs4/ encoder/ cable/ spindle,alarm/ off/ fault,replace,encoder/ spindle_4/ spindle,,I17,N,4/14/15,,4/15/15,,Norm,JC,Jon Cousineau,,spindle/ cable/ encoder,,alarm/ issue,replace,,
Overload Maindrive Alarm,Main motor replaced,main/ drive,overload/ alarm,replace,main/ motor,,SC4,Y,4/14/15,,4/17/15,,Bruce,DK / JC,Denis Kusiak/ Jon Cousineau,,motor,,alarm/ overload,replace,main,
Counter is double counting,Replaced counter,counter,out_of_adjustment,replace,counter,,T98,N,4/14/15,,4/23/15,,Mike L,Colin,Colin,,counter,,,replace,,
Threading unit tripped overload protector,Reset breaker,thread_unit/ overload_protector,trip/ alarm,reset,breaker,,H24,Y,4/15/15,,4/15/15,,J Con,SA,Steve Andreozzi,,unit/ breaker/ thread,trip,overload/ trip,reset,,
Bar not feeding faults,Increased feeding pressure 1/4 turn,bar,fault/ not_feeding_fault,increase,feed_pressure/ pressure,,H5,N,4/15/15,,4/15/15,,J Con,SA,Steve Andreozzi,,pressure,,fault,,bar/ feeding/ turn,
CNC reset selector switch broken,Replaced selector switch -Could have been reset using tablet,cnc_reset/ selector_switch,broken,replace,cnc_reset/ selector_switch,,H5,Y,4/15/15,,4/15/15,,Russ,JPG,Jerry,,cnc/ selector,,broken,replace/ reset,switch,
Turrets INOP -Ready signal not coming up,Swapped Performance modules -Bad cable found and replaced.,Turret/ ready_signal/ cable,inoperable/ fault/ broken,replace/ swap,performance_module/ cable,,I4,Y,4/15/15,,4/15/15,,Steve C,DK,Denis Kusiak,,cable/ turret/ module,,broken/ inoperable,replace/ swap,ready/ performance,
High pressure coolant leak / foaming oil,Replaced HP coolant feed line,pressure/ high_pressure/ coolant/ oil/ foaming_oil,leak,replace,hp_coolant/ feed_line,,TK4,Y,4/15/15,,4/15/15,,Steve C,SA,Steve Andreozzi,,coolant/ pressure/ oil/ line,,leak,replace,feed/ hp/ high,
High speed change shaft worn,Replaced worn shaft and gear,high_speed/ shaft/ change_shaft,worn,replace,shaft/ gear,,A67,Y,4/15/15,,4/16/15,,Jose,Jose,Jose Hernandez,,shaft/ gear/ speed,,worn,replace,change/ high,
Air in oil,Lowered oil feed line into oil !!,air/ oil,out_of_adjustment,adjust ,oil/ feed_line,,TK4,Y,4/15/15,,4/16/15,,Steve C,SA,Steve Andreozzi,,air/ oil/ line,,,,feed,
Shuttle slide will not home,Motor replaced for actuator -Borrowed from D26035 loader,shuttle_slide,will_not_home,replace,motor/ actuator,,Tsch2,Y,4/15/15,,4/16/15,,J Con,SA / DK,Steve Andreozzi/ Denis Kusiak,,motor/ loader/ actuator/ slide,,,replace,home,
Loader INOP / Major hydraulic leak,Broken ferule on line that feeds the table / Oil drained from machine and replaced with fresh Nucut Lite,hydraulic/ loader/ ferule,inoperable/ leak/ major/ broken,drain/ replace,oil/ nucut_lite,,H19,Y,4/16/15,,4/16/15,,Norm,JPM/ ML,John Murray/ Marcel Lefebvre,,hydraulic/ table/ machine/ loader/ oil/ line,drain,broken/ inoperable/ leak,replace,major/ drain,
St#12 brushing unit stuck forward,Over torque switch was loose causing unit to fail as soon as it started. Also loose sensor. All were tensioned and set.,brush_unit/ st_12/ torque_switch/ switch/ sensor,stuck_forward/ loose,tension,torque_switch/ switch/ sensor,,H33,Y,4/16/15,,4/16/15,,J Con,SA,Steve Andreozzi,,station/ unit/ sensor/ brush,tension,loose/ stuck/ fail,set/ tension,switch/ 12/ forward,causing
Brushing unit stuck forward,Replaced prox chord and repaired damaged threading on lead screw,brush_unit/ thread/ screw/ lead_screw,stuck_forward/ broken,repair,proximity_cord/ thread/ lead_screw/ screw,,H34,Y,4/16/15,,4/16/15,,Steve C,JC,Jon Cousineau,,unit/ screw/ prox/ brush/ thread/ lead,,broken/ stuck,replace/ repair,forward,
