Date,Mach type,Mach,Effect,Machine Area,Description,Resolution,I,NA,P,S,U,X
4/21/15,,H17,,,Indexer St#11 does not complete cycle,Reset position,"station, index, position",,,"complete, reset","11, cycle",
4/21/15,,H28,,,St#7 flange fault / check accumulator,Accumulator rebuilt,"station, accumulator, flange",,fault,"check, rebuild",,
4/21/15,,I5,,,Main drive ready signal not coming up Axis X31 drive timeout code 7937,Unknown correction ,axis,,,,"drive, main, ready",
4/22/15,,H15,,,Accumulator drops 25 bar,Accumulators checked charged and tagged,accumulator,,,"check, charge, tag",bar,
4/23/15,,Durr,,,Basckets not being pulled from drum after wash complete,Added shims to raise basket carrying arm to prevent dragging.,basket,,,"complete, add",,
4/23/15,,EDM 2,,,Some soft keys INOP / .008 wire not threading,Alen Saracevik; Reset controler connections / Ajusted push rod for threading mechanism. Service Report# 186991 MC Machinery Systems ,"wire, connector, controller, thread, rod, key",,inoperable,"adjust, reset, report",push,
4/23/15,,I2,,,Parts picker crashing Side A,Cleaned chips under spring in V block / replaced air solonoid valve,"valve, chip, part, air, solenoid",,,"replace, clean",block,
4/23/15,,I20,,,Rear door interlock mechanism INOP,Repaired by replacing the missing screws,"screw, door, rear, interlock",,"inoperable, missing",repair,,
4/23/15,,Tsch 1,,,Coolant base needs to be cleaned,Cleaned,"coolant, base",,,"clean, need",,
4/24/15,,H27,,,Broken exit chute,Walked upstairs to the mezzanine to pick up available exit chute and delivered it to the waiting machine. Operator should have taken care of this!!,"machine, operator, chute",,broken,,pick,
4/24/15,,H28,,,Broken mount for Vogel tank pressure gage,Replaced and wired in inventory Vogel tank,"pressure, vogel, tank, inventory",,broken,replace,mount,
4/24/15,,I17,,,Iemca track #3 broken / Bar clamping faults Sp#6,Iemca track replaced 4/24;  Actuator replaced,"spindle, iemca, clamp, actuator",,"broken, fault",replace,"bar, track",
4/24/15,,Sinico,,,Base needs to be cleaned,Drained and cleaned,base,drain,,"clean, need",drain,
4/24/15,,TK4,,,Air in HP oil,Extended HP intake pipe,"air, oil, intake",,,,hp,
4/26/15,,I2,,,Turret side B will not synchronize,Zero position proximity switch replaced,"turret, prox, position",,,replace,switch,
4/27/15,,H18,,,Table will not index completely and making noise,Synchronized indexers and table,"table, index",,noise,,,
4/27/15,,H23,,,St#7 motor running in reverse,Reversed wiring polarity at plug,"station, motor, wire",,,,"running, plug",
4/27/15,,H32,,,Cut off unit won t cycle,No issue; Machine was cycling when tech arrived,"unit, machine",,issue,,"cycle, cut, won",
4/27/15,,I1,,,Z axis out of position; PLC not ready,Operator cleared alarms,"operator, axis, position, plc",,alarm,clear,ready,
4/27/15,,I2,,,I2 turret alignment B side; post 1st shift repairs,Aligned,turret,,,"repair, align",shift,
4/27/15,,T99,,,Motor doesn t start,Replaced C7 ,motor,,,replace,start,
4/27/15,,T99,,,Motor won t start / Index hesitates,Replaced contactor C7,"motor, index, contactor",,,replace,"start, won",
4/28/15,,Blast 2,,,Barrel came off the rollers,Put the drum back on the rollers; Operator should have taken care of this!!,operator,,,,,
4/28/15,,H11,,,Chip conveyor jammed,Replaced clutch plates,"conveyor, chip, clutch, plate",,jam,replace,,
4/28/15,,H26,,,Bar feeding too slow; Not enough power to advance the bar,Feeding pressure set too low. Feeding speed only works when there is suitable feeding pressure! Operator should have taken care of this!!,"operator, pressure, speed",,slow,set,"bar, power, low, feeding",
4/28/15,,H33,,,Bar not feeding  ,Bent bar removed from loader; Operator should have taken care of this!!,"operator, loader",,,remove,"bar, feeding",
4/28/15,,I1,,,X and Z axis  not under control,Rebooted machine; OPERATOR TOOK CARE OF THIS,"machine, operator, axis",,,,control,
4/28/15,,I19,,,"Alarm K10, K11 / Unallowed contactor",No alarm when Jon got there; Machine online,"machine, contactor",,alarm,,online,
4/28/15,,I19,,,Accumulator on Iemca needs to be charged,Can not charge; Replaced with new accumulator ,"accumulator, iemca",,,"replace, charge, need",new,
4/28/15,,SC7,,,Colant pump INOP,Motor contactor replaced but welded shut when motor was started. Motor removed for rebuild.,"motor, coolant, pump, contactor",,inoperable,"replace, remove, rebuild, weld",shut,
4/29/15,,H22,,,Saw unit will not fire,Emergency retract valve replaced,"unit, valve, saw",,,replace,,
4/29/15,,H30,,,Barchange cycling in the middle of a bar,High Speed counter replaced,"speed, counter",,,replace,"bar, high",
4/29/15,,H31,,,stripped saw clamp screw,Removed and replaced screw,"screw, clamp, saw",,strip,"replace, remove",,
4/29/15,,TK4,,,Turret is stuck on a limit switch,Reset with travel overide select; Referenced and ok,turret,,stuck,"reset, ok","switch, limit, travel",
5/1/15,,H23,,,St#6 brushing unit overload,Replaced motor; Motor removed going to JET Electric,"station, unit, motor, brush",,overload,"replace, remove",,
5/1/15,,SC1 ,,,Feed belt stripped,Belt replaced,belt,,strip,replace,feed,
5/1/15,,SC11,,,Front side door interlock failing,Replaced,"door, interlock",,fail,replace,,
5/2/15,,H23,,,Oerator broke allen wrench tip in saw head / Hub pins broken,Replaced saw head with spare unit; Unit removed requires rebuild,"unit, operator, head, saw, hub",,broken,"replace, remove, rebuild, require",spare,
5/2/15,,Sinico,,,ID flushing nozzles hit and bent,Repaired base and straightened nozzles,base,,,repair,,
5/4/15,,H15,,,No power to pendant,Replaced blown fuse in control panel,"fuse, pendant, panel",,blown,replace,"power, control",
5/4/15,,H3,,,"Check, Charge , and Tag Accumulator",Pressure found at 21-22 bar. Charged to 35 bar and tagged.,"accumulator, pressure",,,"check, charge, tag","bar, 35",
5/4/15,,H30,,,Bar change occuring at the wrong time,Adjusted Prox sensor and loading stop,"sensor, prox",,,adjust,"bar, load, stop, change, time",
5/4/15,,H34,,,Dowel pin on saw unit broken,Removed and replaced broken pin,"unit, saw, pin",,broken,"replace, remove",,
5/4/15,,H5,,,No power to hydraulic,Replaced blown fuse in control panel,"hydraulic, fuse, panel",,blown,replace,"power, control",
5/5/15,,Deco 2,,,Sub Spindle out of alignment,Aligned with JC,spindle,,,align,,
5/5/15,,H4,,,St#6 motor INOP,Replaced motor,"station, motor",,inoperable,replace,,
5/6/15,,I5,,,Coolant system overflow,Vacuum pump valve open all the way; Adjusted,"valve, coolant, pump",,,adjust,open,
5/7/15,,H11,,,Unable to remove saw clamp screw,Removed saw attachment to drill out screw; Replaced screw and returned to Prod,"screw, clamp, saw, drill, attachment",,unable,"replace, remove, return",,
5/7/15,,H14,,,Bearings on saw motor bad,Replaced motor; bad bearings on output shaft,"motor, bearing, saw, shaft",,broken,replace,,
5/7/15,,I17,,,Electrical cabinet cooling fan INOP,Replaced fan,"electrical, fan, cabinet",,inoperable,replace,cooling,
5/7/15,,I4,,,AIM INOP,Replaced potentiometer,,,inoperable,replace,,
5/8/15,,H26,,,Vogel alarms,Replaced fitting ,"vogel, fitting",,alarm,replace,,
5/11/15,,FPI,,,Replace 2 broken latches on FPI gate,Completed,gate,,broken,"replace, complete",,
5/11/15,,H11,,,St#16 valve sticking,Rebuilt,"station, valve",,stick,rebuild,,
5/11/15,,H11,,,"Check, Charge , and Tag Accumulator",One of the two LP units was at 25bar; charged to 30bar. Others ok,"unit, accumulator, low_pressure",30bar,,"check, charge, ok, tag",25bar,
5/11/15,,H11,,,Bar pusher hanging up,Adjusted loader chain tension,"loader, chain, pusher",,,adjust,bar,
5/11/15,,H25,,,Broken guide pin on bar pusher / Broken screw,Repaired,"screw, pin, pusher, guide",,broken,repair,bar,
5/11/15,,H3,,,Accumulator gage dropping to 0,Slow leak; Bladder replaced,"accumulator, bladder",,"leak, drop, slow",replace,,
5/11/15,,H3,,,Bar loader chain broken,Repaired,"loader, chain",,broken,repair,bar,
5/11/15,,H8,,,Lube system faults,Replaced controller board ,"lubrication, controller",lubrication,fault,replace,,
5/11/15,,I18,,,Coolant system alarms,Q0.3 tripped; K0.3 contactor welded closed; Replaced,"coolant, contactor",trip,"alarm, trip","replace, weld",closed,
5/11/15,,I3,,,Hydraulic leak,Side B hydraulic return hose replaced,"hydraulic, hose",,leak,replace,returning,
5/11/15,,T100,,,Machine will not start,Cycled power and reset all motor starter overload devices,"motor, machine, starter",,overload,reset,"power, cycle, start",
5/11/15,,T99,,,Machine stops after completing index,Clutch adjustment,"machine, clutch, index",,,adjust,"stop, completing",
5/12/15,,H11,,,Inverter failing to invert,Replaced inverter valve; swapped with H14,"valve, inverter",,fail,"replace, swap",,
5/12/15,,H24 ,,,Motor contactor fault for power pack,Replaced,"motor, contactor",,fault,replace,"power, pack",
5/12/15,,I18,,,Lifting pump motor INOP,Serviced pump motor,"motor, pump",,inoperable,,,
5/12/15,,I18,,,Lifting pump motor no good ,Replaced lifting pump motor,"motor, pump",,,replace,,
5/12/15,,I19,,,Iemca needs to be charged,Accumulators purchased and installed at a later date,"accumulator, iemca",,,"install, charge, need",,
5/12/15,,I19,,,Iemca loader will not feed or return,Back pressure in hyd line at coupling,"hydraulic, loader, pressure, iemca, line",,,,"feed, returning",
5/12/15,,T97,,,Clean base,Completed,base,,,"complete, clean",,
5/12/15,,TK4,,,Coolant hose leaking,Hose replaced,"coolant, hose",,leak,replace,,
5/13/15,,Blast 2,,,Leaking air line,Replaced air line,"air, line",,leak,replace,,
5/13/15,,H14,,,"Check, Charge , and Tag Accumulator",Two accumulators low at 20bar; Charged to 30bar,accumulator,30bar,,"check, charge, tag","low, 20bar",
5/13/15,,H24 ,,,Install tool detector at St#12,Completed,"station, tool, detector",,,"complete, install",12,
5/13/15,,H27,,,Clamp screw at St#6 stripped,Replaced stripped clamp screw,"station, screw, clamp",,strip,replace,,
5/13/15,,H27,,,Hydraulic leak / location ????,Tightened fitting at leaking hydraulic line St#8; Operator task!,"station, hydraulic, operator, line, fitting",,leak,tighten,,
5/13/15,,SC5,,,Chiller INOP,Swapped chiller with SC7,,,inoperable,swap,,
5/14/15,,H11,,,Inverter INOP,Swapped invert valve with H16,"valve, inverter",,inoperable,swap,,
5/14/15,,H2,,,St#10 hydraulic leak,Replace lip seal on spindle,"station, spindle, hydraulic",,leak,replace,"10, seal",
5/14/15,,H25,,,XD line inside / St#3 outside line  Leaks,Repaired two valves and replaced XD fittings,"station, valve, line, fitting, cross_drill",,leak,"replace, repair",,
5/14/15,,H32,,,Vogel tank leaking at gage fitting,Replaced gage,"vogel, fitting, tank",,leak,replace,,
5/14/15,,H32,,,Filter tank petcock leaking,Replaced petcock,"filter, tank",,leak,replace,,
5/14/15,,I1,,,Transport collision alarm present; with no collision,Adjusted sensor,sensor,,alarm,adjust,transport,present
5/14/15,,I18,,,Accumulator on Iemca needs to be charged,New accumulator installed,"accumulator, iemca",,,"install, charge, need",new,
5/14/15,,I19,,,Accumulator on Iemca needs to be charged,New accumulator installed,"accumulator, iemca",,,"install, charge, need",new,
5/14/15,,SC4,,,No continuity 1st leg Q3 / Needs new breaker,Replaced breaker ,breaker,,,"replace, need",new,
5/15/15,,H10,,,St#9 motor smoking,Replaced motor,"station, motor",,,replace,,
5/15/15,,H2,,,Spindle contactor overload / Dropped screw on St#9 causing problem,Corrected,"station, spindle, screw, contactor",,overload,correct,,causing
5/15/15,,H3,,,Missing insulation on table down prox cord,Cord replaced,"table, prox",,missing,replace,,
5/15/15,,H33,,,St#4 Spindle bearings worn? ; OD chatter,Assessment; Bearings loose and should be rebuilt. Unit swapped with shelf spindle,"station, unit, spindle, bearing, shelf",,"loose, worn","rebuild, swap",,
5/15/15,,I17,,,Iemca Track #6 broken,Track replaced,iemca,,broken,replace,track,
5/15/15,,I19,,,High pressure coolant will not shut off,Relay in controller replaced,"coolant, pressure, controller, relay",,,replace,"shut, high",
5/15/15,,I2,,,Chips in Side A turret,"Turret removed, cleaned, reinstalled, and aligned","chip, turret",,,"remove, install, clean, align",,
5/16/15,,h16,,,"Check, Charge , and Tag Accumulator",Low pressure accumulators low; charged to 30 bar / HP OK.,"accumulator, pressure",,,"check, charge, ok, tag","bar, hp, low, 30",
5/16/15,,I20,,,Broken Rohm head reported,Set of used sliders issued to Norm to rebuild; New Rohm head ordered and in Maint. Inventory,"head, slide, inventory",,broken,"rebuild, report, set, order","new, used",
5/18/15,,H11,,,CNC not HOME;  CNC reset button broken off controller,Replaced switch for operator to HOME CNC,"operator, cnc, controller",,broken,"replace, reset","switch, home",
5/18/15,,H12,,,Check Accumulator,Checked and charged,accumulator,,,"check, charge",,
5/18/15,,H19,,,Hyd pressure drops 40bar / Inverter INOP,Accumulator at 0bar; Charged to 30bar / Schreader valve replaced,"valve, hydraulic, accumulator, pressure, inverter",30bar,inoperable,"replace, charge",,
5/18/15,,H23,,,Broken chain on loader,Repaired,"loader, chain",,broken,repair,,
5/18/15,,H3,,,Brushing unit stuck forward,Backed off unit; turned over to operator,"unit, operator, brush",,stuck,,"forward, turned",
5/18/15,,I18,,,Coolant system alarms,Replaced sensor on drum filter tank,"coolant, sensor, filter, tank",,alarm,replace,,
5/18/15,,I18,,,Coolant system alarms,Replaced proximty sensor B2 in coolanr tank,"coolant, sensor, prox, tank",,alarm,replace,,
5/18/15,,I3,,,Transport A alarm  left by itself ,Adjusted sensor,sensor,,alarm,adjust,"transport, left",
5/18/15,,I3,,,Not reading spindle speed,Performance module replaced,"spindle, module, speed",,,replace,performance,
5/18/15,,RM224,,,Coolant return line leaking,Replaced rubber union,"coolant, line",,leak,replace,returning,
5/19/15,,A76,,,Base cleaning; caused fire,Completed,base,,,"complete, clean",,
5/19/15,,H12,,,Table indexing too soon. Part striking finish saddle end mill before retraction,Damage to part is not consitant with indexing rotation. Operator (Gio) advised to raise the height of the end ill start position and use the available approach to keep the tool away from the part when the table raises for indexing. Solved!,"table, operator, tool, index, position",,broken,,"end, start, used",
5/19/15,,H8,,,Chips in base obstructin coolant flow to pump,Base cleaned / Magnetic chip roll conveyor removed with power disconnected / Fabricated chip box installed; Scrape plate to be designed (MM) and fabricated,"coolant, conveyor, chip, pump, base, flow, plate, box",,,"remove, install, clean","power, roll",
5/19/15,,Hyd Pst,,,Light INOP on presetter,New fixture and rectifier purchased and installed,light,,inoperable,install,new,
5/19/15,,I2,,,Parts offload conveyor jammed,Replaced damaged sections of conveyor belt,"conveyor, part, belt, offload",,"broken, jam",replace,,
5/19/15,,T99,,,Solenoid sticking,Cleaned down shaft with WD-40,"shaft, solenoid",,stick,clean,,
5/20/15,,H12,,,Hydraulic leaks,St#2 valve O-Rings replaced. Solenoid valve O-Rings replaced. Base plate removed O-Rings replaced,"station, valve, hydraulic, base, solenoid, plate, ring",,leak,"replace, remove",,
5/20/15,,H19,,,Offload robot INOP,Adjusted sensor,"sensor, offload",,inoperable,adjust,,
5/20/15,,H23,,,Hydraulics shut off when coolant ON is pressed,No power to PLC; Found (3) Main fuses blown; Replaced,"hydraulic, coolant, fuse, plc",,blown,replace,"power, main, shut",
5/20/15,,I19,,,Coolant overflow from drum filter tank / Poor flow to machine,Main pump cleaned and replaced. Fines cleared from base. Sensor cable for drum filter replaced. Pressure Control switch diaphragm replaced.,"coolant, sensor, machine, pump, base, pressure, cable, filter, tank, flow",,,"replace, clean, clear","switch, control, main",
5/20/15,,SC11,,,Stock stop will not swivel in,Replaced bad coil on solenoid for swivel,"solenoid, stock, coil",,broken,replace,stop,
